"wrong","good"
"Mec?!nica","Mecánica"
"psiqui?!tricas","psiquiátrcas"
"Pel?-cula","Película"
"Micr??metros","Micrómetros"
"Siller?-a","Sillería"
"Comercializaci??n","Comercialización"
"Watthor?-metros","Watthorímetros"
"T??rminos","Términos"
"C?!maras","Cámaras"
"but?-lico","butílico"
"Ars??nico","Arsénico"
"Gr??as","Grúas"
"Fundici??n","Fundicón"
"Representaci??n","Representación"
"parati??n","paratión"
"Par?!metros","Parámetros"
"L?-neas","Líneas"
"Tax?-metros","Taxímetros"
"Midib??s","Midibús"
"midib??s","midibús"
"densitometr?-a","densitometría"
"Incineraci??n","Incineración"
"Designaci??n","Designación"
